UO ID,Sample Name,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,,,
T407,28,18:0 AC,4.07E+04,7.80E+04,0.5223,13.75,76.9,,,
T407,28,18:1 AC,5.77E+04,7.80E+04,0.7404,13.84,108.0,,,
T407,28,18:2 AC,1.58E+04,7.80E+04,0.2024,13.98,31.3,,,
T407,28,18:3 AC,7.13E+02,7.80E+04,0.0091,14.09,3.8,,,
T407,28,4:0AC,1.12E+03,7.80E+04,0.0144,24.39,4.5,,,
T407,28,6:0AC,9.16E+02,7.80E+04,0.0118,17.9,4.2,,,
T407,28,8:0AC,3.16E+03,7.80E+04,0.0405,15.94,8.3,,,
T408,29,10:0AC,2.90E+04,6.22E+04,0.4664,15.36,68.9,,,
T408,29,12:0 AC,2.08E+04,6.22E+04,0.3339,14.85,50.0,,,
T408,29,14:0 AC,9.24E+04,6.22E+04,1.4862,14.5,214.2,,,
T408,29,16:0 AC,5.68E+05,6.22E+04,9.1376,14.19,1304.1,,,
T408,29,16:1 AC,1.57E+05,6.22E+04,2.5273,14.3,362.5,,,
T408,29,18:0 AC,2.13E+05,6.22E+04,3.4268,13.95,490.6,,,
T408,29,18:1 AC,7.73E+05,6.22E+04,12.4214,14.05,1771.9,,,
T408,29,18:2 AC,2.17E+05,6.22E+04,3.4808,14.2,498.3,,,
T408,29,18:3 AC,6.73E+03,6.22E+04,0.1082,14.33,17.9,,,
T408,29,4:0AC,1.94E+03,6.22E+04,0.0312,24.41,6.9,,,
T408,29,6:0AC,6.01E+03,6.22E+04,0.0966,18.11,16.2,,,
T408,29,8:0AC,2.31E+04,6.22E+04,0.3715,16.2,55.4,,,
T500,30,10:0AC,1.88E+04,7.67E+04,0.2456,15.18,37.5,,,
T500,30,12:0 AC,1.15E+04,7.67E+04,0.15,14.68,23.9,,,
T500,30,14:0 AC,3.82E+04,7.67E+04,0.4979,14.31,73.4,,,
T500,30,16:0 AC,1.85E+05,7.67E+04,2.4056,14.01,345.2,,,
T500,30,16:1 AC,4.28E+04,7.67E+04,0.5578,14.13,81.9,,,
T500,30,18:0 AC,1.18E+05,7.67E+04,1.5343,13.77,221.0,,,
T500,30,18:1 AC,1.82E+05,7.67E+04,2.3702,13.88,340.1,,,
T500,30,18:2 AC,1.04E+05,7.67E+04,1.3572,14.02,195.8,,,
T500,30,18:3 AC,5.50E+03,7.67E+04,0.0717,14.16,12.7,,,
T500,30,4:0AC,3.76E+03,7.67E+04,0.0491,24.21,9.5,,,
T500,30,6:0AC,3.46E+03,7.67E+04,0.0451,18,8.9,,,
T500,30,8:0AC,1.42E+04,7.67E+04,0.1849,16.03,28.8,,,
T501,31,10:0AC,8.65E+03,7.90E+04,0.1096,15.29,18.1,,,
T501,31,12:0 AC,3.56E+03,7.90E+04,0.0451,14.8,8.9,,,
T501,31,14:0 AC,6.12E+03,7.90E+04,0.0774,14.46,13.5,,,
T501,31,16:0 AC,5.50E+04,7.90E+04,0.6961,14.17,101.6,,,
T501,31,16:1 AC,8.76E+03,7.90E+04,0.1109,14.26,18.3,,,
T501,31,18:0 AC,4.64E+04,7.90E+04,0.5879,13.94,86.2,,,
T501,31,18:1 AC,4.61E+04,7.90E+04,0.5839,14.03,85.7,,,
T501,31,18:2 AC,2.49E+04,7.90E+04,0.3153,14.17,47.4,,,
T501,31,18:3 AC,2.85E+03,7.90E+04,0.0361,14.31,7.6,,,
T501,31,4:0AC,2.03E+03,7.90E+04,0.0257,24.49,6.1,,,
